assessment_id,student_id,course_id,module,type,max_score,scored,due_date,submitted_date
ASM000030,STU0002,CRS011,5,assignment,50,20.1,2023-11-04,2023-11-07
ASM000031,STU0002,CRS011,6,quiz,25,15.7,2023-11-21,2023-11-22
ASM000032,STU0002,CRS011,6,assignment,50,41.7,2023-11-03,2023-11-06
ASM000033,STU0002,CRS011,6,project,100,72.5,2023-11-03,2023-11-03
ASM000034,STU0002,CRS011,7,quiz,25,18.3,2023-11-17,2023-11-16
ASM000035,STU0002,CRS011,7,assignment,50,30.7,2023-12-15,2023-12-16
ASM000036,STU0002,CRS011,8,quiz,25,12.8,2024-01-18,2024-01-21
ASM000037,STU0002,CRS011,8,assignment,50,19.3,2024-01-26,2024-01-25
ASM000038,STU0002,CRS011,9,quiz,25,17.7,2024-02-07,2024-02-07
ASM000039,STU0002,CRS011,9,assignment,50,23.4,2023-12-15,2023-12-15
ASM000040,STU0002,CRS011,9,project,100,35.5,2024-01-29,2024-01-29
ASM000041,STU0002,CRS011,10,quiz,25,17.5,2024-02-07,2024-02-06
ASM000042,STU0002,CRS011,10,assignment,50,34.6,2024-02-07,2024-02-08
ASM000043,STU0002,CRS011,10,exam,100,55.8,2024-02-07,2024-02-06
ASM000044,STU0003,CRS009,1,quiz,25,7.0,2024-02-25,2024-02-24
ASM000045,STU0003,CRS009,1,assignment,50,38.0,2024-02-24,2024-02-27
ASM000046,STU0003,CRS009,2,quiz,25,8.6,2024-03-18,2024-03-19
ASM000047,STU0003,CRS009,2,assignment,50,15.1,2024-03-10,2024-03-11
ASM000048,STU0003,CRS009,3,quiz,25,3.4,2024-04-01,2024-04-06
ASM000049,STU0003,CRS009,3,assignment,50,46.3,2024-04-07,2024-04-07
ASM000050,STU0003,CRS009,3,project,100,71.2,2024-03-29,2024-03-29
ASM000051,STU0003,CRS009,4,quiz,25,12.9,2024-04-15,2024-04-16
ASM000052,STU0003,CRS009,4,assignment,50,24.7,2024-04-23,2024-04-23
ASM000053,STU0003,CRS009,5,quiz,25,18.3,2024-04-27,2024-04-29
ASM000054,STU0003,CRS009,5,assignment,50,28.5,2024-04-22,2024-04-22
ASM000055,STU0003,CRS009,6,quiz,25,7.0,2024-05-25,2024-05-26
ASM000056,STU0003,CRS009,6,assignment,50,25.3,2024-05-31,2024-06-01
ASM000057,STU0003,CRS009,6,project,100,64.4,2024-05-19,2024-05-19
ASM000058,STU0003,CRS009,7,quiz,25,12.4,2024-06-19,2024-06-19
ASM000059,STU0003,CRS009,7,assignment,50,34.7,2024-06-12,2024-06-12
ASM000060,STU0003,CRS009,8,quiz,25,17.3,2024-06-06,2024-06-06
ASM000061,STU0003,CRS009,8,assignment,50,38.4,2024-06-22,2024-06-22
ASM000062,STU0003,CRS009,9,quiz,25,13.0,2024-07-18,2024-07-18
ASM000063,STU0003,CRS009,9,assignment,50,35.3,2024-06-30,2024-06-28
ASM000064,STU0003,CRS009,9,project,100,82.6,2024-08-14,2024-08-12
ASM000065,STU0003,CRS009,10,quiz,25,9.9,2024-07-16,2024-07-18
ASM000066,STU0003,CRS009,10,assignment,50,33.5,2024-07-16,2024-07-16
ASM000067,STU0003,CRS009,11,quiz,25,15.1,2024-07-10,2024-07-07
ASM000068,STU0003,CRS009,11,assignment,50,47.6,2024-08-01,2024-08-01
ASM000069,STU0003,CRS009,12,quiz,25,16.4,2024-08-17,2024-08-17
ASM000070,STU0003,CRS009,12,assignment,50,28.7,2024-10-04,2024-10-05
ASM000071,STU0003,CRS009,12,project,100,63.3,2024-10-04,2024-10-04
ASM000072,STU0003,CRS009,12,exam,100,65.2,2024-08-29,2024-08-30
ASM000073,STU0004,CRS016,1,quiz,25,16.5,2024-08-02,2024-08-05
ASM000074,STU0004,CRS016,1,assignment,50,21.4,2024-08-02,2024-08-03
ASM000075,STU0004,CRS016,2,quiz,25,19.0,2024-08-22,2024-08-21
ASM000076,STU0004,CRS016,2,assignment,50,27.1,2024-08-18,2024-08-18
ASM000077,STU0004,CRS016,3,quiz,25,17.9,2024-09-11,2024-09-10
ASM000078,STU0004,CRS016,3,assignment,50,25.7,2024-09-11,2024-09-11
ASM000079,STU0004,CRS016,3,project,100,61.3,2024-09-14,2024-09-14
ASM000080,STU0004,CRS016,4,quiz,25,14.0,2024-10-11,2024-10-11
ASM000081,STU0004,CRS016,4,assignment,50,46.2,2024-09-25,2024-09-24
ASM000082,STU0004,CRS016,5,quiz,25,11.7,2024-09-27,2024-09-26
ASM000083,STU0004,CRS016,5,assignment,50,43.1,2024-10-07,2024-10-06
ASM000084,STU0004,CRS016,6,quiz,25,17.0,2024-10-17,2024-10-17
ASM000085,STU0004,CRS016,6,assignment,50,22.7,2024-10-11,2024-10-11
ASM000086,STU0004,CRS016,6,project,100,41.1,2024-10-11,2024-10-11
ASM000087,STU0004,CRS016,6,exam,100,63.0,2024-10-11,2024-10-12
ASM000088,STU0005,CRS003,1,quiz,25,15.5,2023-02-04,2023-02-04
ASM000089,STU0005,CRS003,1,assignment,50,32.3,2023-02-09,2023-02-07
ASM000090,STU0005,CRS003,2,quiz,25,23.2,2023-02-23,2023-02-24
ASM000091,STU0005,CRS003,2,assignment,50,25.5,2023-02-17,2023-02-17
ASM000092,STU0005,CRS003,3,quiz,25,10.6,2023-03-15,2023-03-16
ASM000093,STU0005,CRS003,3,assignment,50,41.2,2023-03-09,2023-03-09
ASM000094,STU0005,CRS003,3,project,100,52.2,2023-03-06,2023-03-05
ASM000095,STU0005,CRS003,4,quiz,25,10.2,2023-03-21,2023-03-21
ASM000096,STU0005,CRS003,4,assignment,50,22.6,2023-03-29,2023-03-29
ASM000097,STU0005,CRS003,5,quiz,25,21.4,2023-04-30,2023-04-29
ASM000098,STU0005,CRS003,5,assignment,50,35.1,2023-04-15,2023-04-16
ASM000099,STU0005,CRS003,5,exam,100,91.9,2023-05-05,2023-05-05
ASM000100,STU0006,CRS012,1,quiz,25,16.4,2023-09-19,2023-09-21
ASM000101,STU0006,CRS012,1,assignment,50,41.6,2023-09-25,2023-09-23
ASM000102,STU0006,CRS012,2,quiz,25,19.1,2023-10-04,2023-10-09
ASM000103,STU0006,CRS012,2,assignment,50,39.5,2023-10-08,2023-10-08
ASM000104,STU0006,CRS012,3,quiz,25,15.7,2023-10-16,2023-10-14
ASM000105,STU0006,CRS012,3,assignment,50,37.6,2023-10-22,2023-10-25
ASM000106,STU0006,CRS012,3,project,100,51.4,2023-10-31,2023-10-31
ASM000107,STU0006,CRS012,4,quiz,25,16.3,2023-11-03,2023-11-01
ASM000108,STU0006,CRS012,4,assignment,50,29.7,2023-11-07,2023-11-08
ASM000109,STU0006,CRS012,5,quiz,25,24.5,2023-11-23,2023-11-23
ASM000110,STU0006,CRS012,5,assignment,50,18.7,2023-12-03,2023-12-06
ASM000111,STU0006,CRS012,6,quiz,25,15.0,2023-12-03,2023-12-03
ASM000112,STU0006,CRS012,6,assignment,50,36.2,2024-01-02,2024-01-09
ASM000113,STU0006,CRS012,6,project,100,57.4,2023-12-21,2023-12-23
ASM000114,STU0006,CRS012,7,quiz,25,11.5,2024-01-22,2024-01-23
ASM000115,STU0006,CRS012,7,assignment,50,31.5,2023-12-25,2023-12-23
ASM000116,STU0006,CRS012,8,quiz,25,14.8,2024-01-10,2024-01-08
ASM000117,STU0006,CRS012,8,assignment,50,30.0,2024-02-19,2024-02-21
ASM000118,STU0006,CRS012,8,exam,100,54.7,2024-02-11,2024-02-13
ASM000119,STU0007,CRS002,1,quiz,25,21.5,2024-03-06,2024-03-09
ASM000120,STU0007,CRS002,1,assignment,50,22.6,2024-03-08,2024-03-08
ASM000121,STU0007,CRS002,2,quiz,25,15.1,2024-04-03,2024-04-01
ASM000122,STU0007,CRS002,2,assignment,50,34.0,2024-03-28,2024-03-29
ASM000123,STU0007,CRS002,3,quiz,25,12.9,2024-04-03,2024-04-04
ASM000124,STU0007,CRS002,3,assignment,50,18.7,2024-04-12,2024-04-19
ASM000125,STU0007,CRS002,3,project,100,55.5,2024-04-18,2024-04-18
ASM000126,STU0007,CRS002,4,quiz,25,10.5,2024-05-11,2024-05-12
ASM000127,STU0007,CRS002,4,assignment,50,25.8,2024-04-29,2024-04-29
ASM000128,STU0007,CRS002,5,quiz,25,10.7,2024-05-11,2024-05-13
ASM000129,STU0007,CRS002,5,assignment,50,42.3,2024-05-01,2024-04-28
ASM000130,STU0007,CRS002,6,quiz,25,14.1,2024-06-26,2024-06-29
ASM000131,STU0007,CRS002,6,assignment,50,25.8,2024-05-27,2024-05-25
ASM000132,STU0007,CRS002,6,project,100,65.7,2024-06-08,2024-06-06
ASM000133,STU0007,CRS002,6,exam,100,41.0,2024-06-02,2024-06-02
ASM000134,STU0008,CRS011,1,quiz,25,22.0,2024-09-10,2024-09-10
ASM000135,STU0008,CRS011,1,assignment,50,24.7,2024-09-16,2024-09-14
ASM000136,STU0008,CRS011,2,quiz,25,16.3,2024-10-07,2024-10-08
ASM000137,STU0008,CRS011,2,assignment,50,22.7,2024-09-23,2024-09-21
ASM000138,STU0008,CRS011,3,quiz,25,19.3,2024-10-07,2024-10-09
ASM000139,STU0008,CRS011,3,assignment,50,20.4,2024-10-19,2024-10-22
ASM000140,STU0008,CRS011,3,project,100,55.0,2024-10-28,2024-11-04
ASM000141,STU0008,CRS011,4,quiz,25,19.8,2024-11-10,2024-11-12
ASM000142,STU0008,CRS011,4,assignment,50,16.6,2024-11-10,2024-11-10
ASM000143,STU0008,CRS011,5,quiz,25,13.0,2024-12-09,2024-12-10
ASM000144,STU0008,CRS011,5,assignment,50,40.0,2024-11-09,2024-11-11
ASM000145,STU0008,CRS011,5,exam,100,49.3,2024-11-19,2024-11-16
ASM000146,STU0009,CRS012,1,quiz,25,21.3,2023-03-29,2023-03-29
ASM000147,STU0009,CRS012,1,assignment,50,37.7,2023-03-30,2023-03-31
ASM000148,STU0009,CRS012,2,quiz,25,17.0,2023-04-12,2023-04-14
ASM000149,STU0009,CRS012,2,assignment,50,28.1,2023-04-20,2023-04-18
ASM000150,STU0009,CRS012,3,quiz,25,14.4,2023-05-10,2023-05-09
ASM000151,STU0009,CRS012,3,assignment,50,39.8,2023-05-01,2023-05-02
ASM000152,STU0009,CRS012,3,project,100,76.7,2023-04-25,2023-04-27
ASM000153,STU0009,CRS012,4,quiz,25,11.7,2023-06-03,2023-06-03
ASM000154,STU0009,CRS012,4,assignment,50,26.8,2023-06-03,2023-05-31
ASM000155,STU0009,CRS012,5,quiz,25,10.8,2023-05-20,2023-05-20
ASM000156,STU0009,CRS012,5,assignment,50,37.4,2023-05-30,2023-05-31
ASM000157,STU0009,CRS012,6,quiz,25,19.3,2023-06-15,2023-06-16
ASM000158,STU0009,CRS012,6,assignment,50,38.9,2023-07-03,2023-07-03
ASM000159,STU0009,CRS012,6,project,100,43.6,2023-07-09,2023-07-09
ASM000160,STU0009,CRS012,7,quiz,25,11.9,2023-07-08,2023-07-07
ASM000161,STU0009,CRS012,7,assignment,50,27.9,2023-07-22,2023-07-29
ASM000162,STU0009,CRS012,8,quiz,25,17.0,2023-08-18,2023-08-19
ASM000163,STU0009,CRS012,8,assignment,50,25.0,2023-08-02,2023-08-04
ASM000164,STU0009,CRS012,8,exam,100,60.4,2023-07-25,2023-07-24
ASM000165,STU0010,CRS014,1,quiz,25,18.4,2023-09-26,2023-09-27
ASM000166,STU0010,CRS014,1,assignment,50,30.2,2023-09-24,2023-09-24
ASM000167,STU0010,CRS014,2,quiz,25,16.6,2023-10-16,2023-10-17
ASM000168,STU0010,CRS014,2,assignment,50,21.0,2023-10-18,2023-10-19
ASM000169,STU0010,CRS014,3,quiz,25,15.6,2023-11-01,2023-11-04
ASM000170,STU0010,CRS014,3,assignment,50,33.2,2023-10-23,2023-10-20
ASM000171,STU0010,CRS014,3,project,100,78.3,2023-10-26,2023-10-24
ASM000172,STU0010,CRS014,4,quiz,25,17.5,2023-11-11,2023-11-18
ASM000173,STU0010,CRS014,4,assignment,50,47.1,2023-11-19,2023-11-17
ASM000174,STU0010,CRS014,5,quiz,25,19.2,2023-12-02,2023-12-04
ASM000175,STU0010,CRS014,5,assignment,50,20.6,2023-11-17,2023-11-17
ASM000176,STU0010,CRS014,6,quiz,25,18.1,2023-12-19,2023-12-20
ASM000177,STU0010,CRS014,6,assignment,50,35.9,2024-01-06,2024-01-05
ASM000178,STU0010,CRS014,6,project,100,33.5,2023-12-25,2023-12-26
ASM000179,STU0010,CRS014,6,exam,100,30.7,2023-12-01,2023-12-06
ASM000180,STU0011,CRS010,1,quiz,25,23.6,2024-03-12,2024-03-19
ASM000181,STU0011,CRS010,1,assignment,50,32.4,2024-03-07,2024-03-04
ASM000182,STU0011,CRS010,2,quiz,25,22.5,2024-04-04,2024-04-06
ASM000183,STU0011,CRS010,2,assignment,50,20.8,2024-03-31,2024-04-02
ASM000184,STU0011,CRS010,3,quiz,25,14.5,2024-04-13,2024-04-12
ASM000185,STU0011,CRS010,3,assignment,50,49.0,2024-04-10,2024-04-17
ASM000186,STU0011,CRS010,3,project,100,85.8,2024-04-07,2024-04-07
ASM000187,STU0011,CRS010,4,quiz,25,16.0,2024-05-12,2024-05-11
ASM000188,STU0011,CRS010,4,assignment,50,37.8,2024-05-04,2024-05-01
ASM000189,STU0011,CRS010,5,quiz,25,17.7,2024-06-06,2024-06-07
ASM000190,STU0011,CRS010,5,assignment,50,36.8,2024-05-27,2024-05-27
ASM000191,STU0011,CRS010,6,quiz,25,12.4,2024-06-09,2024-06-09
ASM000192,STU0011,CRS010,6,assignment,50,28.8,2024-06-15,2024-06-15
ASM000193,STU0011,CRS010,6,project,100,67.4,2024-05-28,2024-05-28
ASM000194,STU0011,CRS010,7,quiz,25,13.7,2024-07-11,2024-07-09
ASM000195,STU0011,CRS010,7,assignment,50,28.3,2024-06-20,2024-06-23
ASM000196,STU0011,CRS010,8,quiz,25,12.8,2024-07-15,2024-07-14
ASM000197,STU0011,CRS010,8,assignment,50,43.8,2024-08-08,2024-08-15
ASM000198,STU0011,CRS010,9,quiz,25,4.9,2024-06-27,2024-06-25
ASM000199,STU0011,CRS010,9,assignment,50,42.7,2024-08-11,2024-08-11
ASM000200,STU0011,CRS010,9,project,100,51.0,2024-07-24,2024-07-31
ASM000201,STU0011,CRS010,10,quiz,25,16.9,2024-08-30,2024-08-30
ASM000202,STU0011,CRS010,10,assignment,50,28.3,2024-08-20,2024-08-20
ASM000203,STU0011,CRS010,10,exam,100,34.3,2024-08-20,2024-08-17
ASM000204,STU0012,CRS004,1,quiz,25,15.4,2024-09-10,2024-09-10
ASM000205,STU0012,CRS004,1,assignment,50,36.3,2024-09-07,2024-09-10
ASM000206,STU0012,CRS004,2,quiz,25,21.3,2024-09-19,2024-09-18
ASM000207,STU0012,CRS004,2,assignment,50,35.6,2024-09-17,2024-09-18
ASM000208,STU0012,CRS004,3,quiz,25,22.4,2024-10-10,2024-10-13
ASM000209,STU0012,CRS004,3,assignment,50,37.2,2024-10-19,2024-10-21
ASM000210,STU0012,CRS004,3,project,100,97.5,2024-10-19,2024-10-20
ASM000211,STU0012,CRS004,4,quiz,25,19.1,2024-10-19,2024-10-20
ASM000212,STU0012,CRS004,4,assignment,50,40.7,2024-11-04,2024-11-01
ASM000213,STU0012,CRS004,5,quiz,25,17.8,2024-11-03,2024-11-01
ASM000214,STU0012,CRS004,5,assignment,50,21.4,2024-11-13,2024-11-18
ASM000215,STU0012,CRS004,6,quiz,25,13.0,2024-12-18,2024-12-18
ASM000216,STU0012,CRS004,6,assignment,50,25.5,2024-11-12,2024-11-12
ASM000217,STU0012,CRS004,6,project,100,49.2,2024-11-18,2024-11-18
ASM000218,STU0012,CRS004,6,exam,100,45.6,2024-11-12,2024-11-13
ASM000219,STU0013,CRS005,1,quiz,25,12.5,2023-03-13,2023-03-13
ASM000220,STU0013,CRS005,1,assignment,50,32.4,2023-03-16,2023-03-17
ASM000221,STU0013,CRS005,2,quiz,25,12.1,2023-04-03,2023-04-05
ASM000222,STU0013,CRS005,2,assignment,50,35.9,2023-03-26,2023-03-26
ASM000223,STU0013,CRS005,3,quiz,25,10.0,2023-04-18,2023-04-16
ASM000224,STU0013,CRS005,3,assignment,50,42.7,2023-04-21,2023-04-28
ASM000225,STU0013,CRS005,3,project,100,98.0,2023-04-15,2023-04-14
ASM000226,STU0013,CRS005,4,quiz,25,8.6,2023-05-13,2023-05-20
ASM000227,STU0013,CRS005,4,assignment,50,28.2,2023-04-23,2023-04-23
ASM000228,STU0013,CRS005,5,quiz,25,15.5,2023-05-07,2023-05-07
ASM000229,STU0013,CRS005,5,assignment,50,39.8,2023-06-06,2023-06-06
ASM000230,STU0013,CRS005,6,quiz,25,15.0,2023-06-20,2023-06-19
ASM000231,STU0013,CRS005,6,assignment,50,35.6,2023-06-02,2023-06-01
ASM000232,STU0013,CRS005,6,project,100,98.0,2023-06-08,2023-06-06
ASM000233,STU0013,CRS005,7,quiz,25,24.5,2023-06-04,2023-06-07
ASM000234,STU0013,CRS005,7,assignment,50,20.6,2023-07-23,2023-07-24
ASM000235,STU0013,CRS005,8,quiz,25,18.1,2023-06-26,2023-06-25
ASM000236,STU0013,CRS005,8,assignment,50,34.2,2023-08-13,2023-08-20
ASM000237,STU0013,CRS005,8,exam,100,60.4,2023-07-28,2023-07-26
ASM000238,STU0014,CRS004,1,quiz,25,14.5,2023-08-21,2023-08-26
ASM000239,STU0014,CRS004,1,assignment,50,26.3,2023-08-25,2023-08-25
ASM000240,STU0014,CRS004,2,quiz,25,22.1,2023-09-07,2023-09-07
ASM000241,STU0014,CRS004,2,assignment,50,37.8,2023-09-13,2023-09-15
ASM000242,STU0014,CRS004,3,quiz,25,15.5,2023-10-02,2023-10-01
ASM000243,STU0014,CRS004,3,assignment,50,27.9,2023-09-26,2023-09-27
ASM000244,STU0014,CRS004,3,project,100,53.8,2023-10-02,2023-09-30
ASM000245,STU0014,CRS004,4,quiz,25,12.1,2023-10-21,2023-10-24
ASM000246,STU0014,CRS004,4,assignment,50,34.5,2023-10-17,2023-10-17
ASM000247,STU0014,CRS004,5,quiz,25,9.5,2023-10-20,2023-10-19
ASM000248,STU0014,CRS004,5,assignment,50,21.8,2023-10-25,2023-10-28
ASM000249,STU0014,CRS004,6,quiz,25,17.6,2023-11-16,2023-11-15
ASM000250,STU0014,CRS004,6,assignment,50,30.1,2023-11-04,2023-11-07
ASM000251,STU0014,CRS004,6,project,100,37.9,2023-10-29,2023-10-31
ASM000252,STU0014,CRS004,6,exam,100,50.3,2023-11-16,2023-11-21
ASM000253,STU0015,CRS004,1,quiz,25,21.3,2024-03-21,2024-03-21
ASM000254,STU0015,CRS004,1,assignment,50,32.4,2024-03-19,2024-03-19
ASM000255,STU0015,CRS004,2,quiz,25,8.7,2024-04-06,2024-04-09
ASM000256,STU0015,CRS004,2,assignment,50,23.0,2024-04-04,2024-04-04
ASM000257,STU0015,CRS004,3,quiz,25,9.6,2024-04-17,2024-04-17
ASM000258,STU0015,CRS004,3,assignment,50,32.3,2024-04-20,2024-04-22
ASM000259,STU0015,CRS004,3,project,100,83.9,2024-04-20,2024-04-20
ASM000260,STU0015,CRS004,4,quiz,25,24.5,2024-05-06,2024-05-07
ASM000261,STU0015,CRS004,4,assignment,50,47.2,2024-05-26,2024-05-31
ASM000262,STU0015,CRS004,5,quiz,25,18.2,2024-05-27,2024-05-25
ASM000263,STU0015,CRS004,5,assignment,50,27.2,2024-06-06,2024-06-05
ASM000264,STU0015,CRS004,6,quiz,25,11.5,2024-06-25,2024-06-25
ASM000265,STU0015,CRS004,6,assignment,50,45.1,2024-07-07,2024-07-10
ASM000266,STU0015,CRS004,6,project,100,71.5,2024-06-01,2024-06-02
ASM000267,STU0015,CRS004,6,exam,100,63.1,2024-06-19,2024-06-21
ASM000268,STU0016,CRS008,1,quiz,25,21.9,2024-09-20,2024-09-20
ASM000269,STU0016,CRS008,1,assignment,50,22.7,2024-09-24,2024-09-24
ASM000270,STU0016,CRS008,2,quiz,25,9.2,2024-10-10,2024-10-10
ASM000271,STU0016,CRS008,2,assignment,50,21.6,2024-10-08,2024-10-08
ASM000272,STU0016,CRS008,3,quiz,25,23.5,2024-11-06,2024-11-08
ASM000273,STU0016,CRS008,3,assignment,50,36.0,2024-10-16,2024-10-16
ASM000274,STU0016,CRS008,3,project,100,73.3,2024-10-19,2024-10-19
ASM000275,STU0016,CRS008,4,quiz,25,17.9,2024-11-15,2024-11-14
ASM000276,STU0016,CRS008,4,assignment,50,40.4,2024-11-03,2024-11-04
ASM000277,STU0016,CRS008,5,quiz,25,15.3,2024-12-13,2024-12-15
ASM000278,STU0016,CRS008,5,assignment,50,22.4,2024-12-18,2024-12-18
ASM000279,STU0016,CRS008,6,quiz,25,13.4,2024-12-09,2024-12-10
ASM000280,STU0016,CRS008,6,assignment,50,36.1,2024-12-09,2024-12-09
ASM000281,STU0016,CRS008,6,project,100,27.2,2024-12-09,2024-12-07
ASM000282,STU0016,CRS008,6,exam,100,62.0,2024-12-09,2024-12-07
ASM000283,STU0017,CRS018,1,quiz,25,11.7,2023-03-23,2023-03-28
ASM000284,STU0017,CRS018,1,assignment,50,31.5,2023-03-19,2023-03-22
ASM000285,STU0017,CRS018,2,quiz,25,17.5,2023-04-10,2023-04-15
ASM000286,STU0017,CRS018,2,assignment,50,44.5,2023-04-16,2023-04-19
ASM000287,STU0017,CRS018,3,quiz,25,14.1,2023-04-22,2023-04-21
ASM000288,STU0017,CRS018,3,assignment,50,35.2,2023-04-22,2023-04-23
ASM000289,STU0017,CRS018,3,project,100,49.0,2023-04-28,2023-04-27
ASM000290,STU0017,CRS018,4,quiz,25,6.9,2023-05-04,2023-05-03
ASM000291,STU0017,CRS018,4,assignment,50,43.4,2023-05-24,2023-05-22
ASM000292,STU0017,CRS018,5,quiz,25,16.8,2023-06-13,2023-06-15
ASM000293,STU0017,CRS018,5,assignment,50,42.4,2023-05-19,2023-05-18
ASM000294,STU0017,CRS018,6,quiz,25,12.7,2023-06-03,2023-06-01
ASM000295,STU0017,CRS018,6,assignment,50,32.1,2023-06-09,2023-06-14
ASM000296,STU0017,CRS018,6,project,100,64.8,2023-07-03,2023-07-03
ASM000297,STU0017,CRS018,7,quiz,25,14.7,2023-07-16,2023-07-19
ASM000298,STU0017,CRS018,7,assignment,50,23.5,2023-07-30,2023-08-01
ASM000299,STU0017,CRS018,8,quiz,25,19.6,2023-08-12,2023-08-12
ASM000300,STU0017,CRS018,8,assignment,50,14.0,2023-07-03,2023-07-03
ASM000301,STU0017,CRS018,8,exam,100,68.9,2023-07-27,2023-07-27
ASM000302,STU0018,CRS018,1,quiz,25,24.5,2023-08-03,2023-08-03
ASM000303,STU0018,CRS018,1,assignment,50,47.3,2023-08-05,2023-08-04
ASM000304,STU0018,CRS018,2,quiz,25,16.5,2023-08-13,2023-08-13
ASM000305,STU0018,CRS018,2,assignment,50,28.2,2023-08-15,2023-08-15
ASM000306,STU0018,CRS018,3,quiz,25,18.4,2023-09-11,2023-09-11
ASM000307,STU0018,CRS018,3,assignment,50,28.5,2023-08-30,2023-08-29
ASM000308,STU0018,CRS018,3,project,100,53.8,2023-09-14,2023-09-14
ASM000309,STU0018,CRS018,4,quiz,25,13.8,2023-09-26,2023-10-03
ASM000310,STU0018,CRS018,4,assignment,50,36.1,2023-10-08,2023-10-07
ASM000311,STU0018,CRS018,5,quiz,25,14.8,2023-10-29,2023-10-28
ASM000312,STU0018,CRS018,5,assignment,50,40.3,2023-10-24,2023-10-25
ASM000313,STU0018,CRS018,6,quiz,25,9.7,2023-10-14,2023-10-15
ASM000314,STU0018,CRS018,6,assignment,50,37.1,2023-10-20,2023-10-18
ASM000315,STU0018,CRS018,6,project,100,72.8,2023-11-13,2023-11-15
ASM000316,STU0018,CRS018,7,quiz,25,10.4,2023-10-22,2023-10-21
ASM000317,STU0018,CRS018,7,assignment,50,37.0,2023-10-22,2023-10-24
ASM000318,STU0018,CRS018,8,quiz,25,11.7,2023-12-23,2023-12-21
ASM000319,STU0018,CRS018,8,assignment,50,34.7,2023-12-07,2023-12-06
ASM000320,STU0018,CRS018,8,exam,100,67.4,2023-12-23,2023-12-28
ASM000321,STU0019,CRS009,1,quiz,25,9.2,2024-02-05,2024-02-06
ASM000322,STU0019,CRS009,1,assignment,50,30.6,2024-01-30,2024-02-04
ASM000323,STU0019,CRS009,2,quiz,25,13.4,2024-02-17,2024-02-18
ASM000324,STU0019,CRS009,2,assignment,50,34.8,2024-02-21,2024-02-20
ASM000325,STU0019,CRS009,3,quiz,25,14.3,2024-03-07,2024-03-08
ASM000326,STU0019,CRS009,3,assignment,50,25.0,2024-02-27,2024-03-05
ASM000327,STU0019,CRS009,3,project,100,68.1,2024-03-01,2024-03-08
ASM000328,STU0019,CRS009,4,quiz,25,12.1,2024-04-05,2024-04-05
ASM000329,STU0019,CRS009,4,assignment,50,32.2,2024-03-24,2024-03-24
ASM000330,STU0019,CRS009,5,quiz,25,14.6,2024-03-31,2024-03-31
ASM000331,STU0019,CRS009,5,assignment,50,35.1,2024-04-20,2024-04-20
ASM000332,STU0019,CRS009,6,quiz,25,13.3,2024-04-27,2024-04-27
ASM000333,STU0019,CRS009,6,assignment,50,31.9,2024-05-15,2024-05-15
ASM000334,STU0019,CRS009,6,project,100,83.4,2024-04-15,2024-04-15
